model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_ppvHste,ArticularyWordRecognition,243,0.9800000190734863,0.9799999594688416,0.069099061191082,1.0,1.0,3.2832131182658486e-06
resnet,gap_ppvHste,AtrialFibrillation,373,0.13333334028720856,0.13333329558372498,2.3712375164031982,0.5333333611488342,0.5333333015441895,1.2067588567733765
resnet,gap_ppvHste,BasicMotions,140,1.0,1.0,0.00017451212625019252,1.0,1.0,8.344647994817933e-08
resnet,gap_ppvHste,Cricket,274,0.9722222089767456,0.9722221493721008,0.07793814688920975,1.0,1.0,1.490115550950577e-07
resnet,gap_ppvHste,DuckDuckGeese,230,0.5,0.4999999403953552,2.7625086307525635,1.0,1.0,4.363056689271616e-07
resnet,gap_ppvHste,EigenWorms,2057,0.9007633328437805,0.9007632732391357,0.3582392632961273,1.0,1.0,1.9501676433719695e-06
resnet,gap_ppvHste,Epilepsy,187,0.9927536249160767,0.9927535653114319,0.04368959739804268,1.0,1.0,1.8533994250446995e-07
resnet,gap_ppvHste,EthanolConcentration,614,0.22813688218593597,0.2281368374824524,5.374171733856201,1.0,1.0,7.040982018224895e-05
resnet,gap_ppvHste,ERing,137,0.8703703880310059,0.8703703284263611,0.5369696021080017,1.0,1.0,4.2120603893636144e-07
resnet,gap_ppvHste,FaceDetection,2712,0.5746310949325562,0.5746310353279114,7.907365798950195,1.0,1.0,0.0
resnet,gap_ppvHste,FingerMovements,234,0.44999998807907104,0.44999992847442627,4.460048675537109,1.0,1.0,3.734720266379554e-08
resnet,gap_ppvHste,HandMovementDirection,197,0.28378379344940186,0.2837837338447571,3.1736602783203125,1.0,1.0,1.870095474032496e-07
resnet,gap_ppvHste,Handwriting,182,0.5788235068321228,0.578823447227478,1.6811965703964233,1.0,1.0,4.092850360848388e-07
resnet,gap_ppvHste,Heartbeat,256,0.6829268336296082,0.6829267740249634,2.0551564693450928,1.0,1.0,2.220564887522869e-08
resnet,gap_ppvHste,Libras,184,0.855555534362793,0.8555554747581482,0.8683881759643555,1.0,1.0,1.376632098981645e-05
resnet,gap_ppvHste,LSST,1071,0.6115166544914246,0.6115165948867798,5.320384979248047,1.0,1.0,9.210964768691099e-10
resnet,gap_ppvHste,MotorImagery,1022,0.5400000214576721,0.5399999618530273,2.327807664871216,1.0,1.0,1.2383987950670416e-06
resnet,gap_ppvHste,NATOPS,174,0.894444465637207,0.8944444060325623,0.6311964988708496,1.0,1.0,6.741869128745748e-06
resnet,gap_ppvHste,PenDigits,2907,0.9848484992980957,0.9848484396934509,0.1921127289533615,1.0,1.0,0.0
resnet,gap_ppvHste,PEMS-SF,342,0.849711000919342,0.8497109413146973,1.028356909751892,1.0,1.0,3.1253368781847257e-09
resnet,gap_ppvHste,PhonemeSpectra,1963,0.26990753412246704,0.26990747451782227,6.860771179199219,1.0,1.0,7.607744691995322e-07
resnet,gap_ppvHste,RacketSports,167,0.8684210777282715,0.8684210181236267,1.5414905548095703,1.0,1.0,0.0
resnet,gap_ppvHste,SelfRegulationSCP1,413,0.7474402785301208,0.7474401593208313,1.5204203128814697,1.0,1.0,7.041330718493555e-07
resnet,gap_ppvHste,SelfRegulationSCP2,378,0.4888888895511627,0.48888882994651794,2.9296743869781494,1.0,1.0,6.968752131797373e-06
resnet,gap_ppvHste,StandWalkJump,413,0.3333333432674408,0.333333283662796,1.976675271987915,0.3333333432674408,0.333333283662796,1.713584542274475
resnet,gap_ppvHste,UWaveGestureLibrary,178,0.8687499761581421,0.8687499165534973,0.8466440439224243,1.0,1.0,1.7186002310154436e-07
