model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gap_ppvHste,ArticularyWordRecognition,271,0.9800000190734863,0.9799999594688416,0.07950341701507568,1.0,1.0,4.319217623560689e-06
resnet,gap_ppvHste,AtrialFibrillation,414,0.3333333432674408,0.333333283662796,1.8701527118682861,0.5333333611488342,0.5333333015441895,1.2256361246109009
resnet,gap_ppvHste,BasicMotions,150,1.0,1.0,0.0009922748431563377,1.0,1.0,2.8610207891688333e-07
resnet,gap_ppvHste,Cricket,328,0.9722222089767456,0.9722221493721008,0.03302939236164093,1.0,1.0,1.0375621428693194e-07
resnet,gap_ppvHste,DuckDuckGeese,257,0.5,0.4999999403953552,2.5901403427124023,1.0,1.0,9.703617251943797e-07
resnet,gap_ppvHste,EigenWorms,2704,0.885496199131012,0.8854961395263672,0.46045199036598206,1.0,1.0,4.641509804059751e-06
resnet,gap_ppvHste,Epilepsy,198,0.97826087474823,0.9782608151435852,0.061200596392154694,1.0,1.0,2.0274278256238176e-07
resnet,gap_ppvHste,EthanolConcentration,728,0.2319391667842865,0.23193912208080292,5.372462272644043,1.0,1.0,0.00012051386875100434
resnet,gap_ppvHste,ERing,146,0.8888888955116272,0.8888888359069824,0.453156977891922,1.0,1.0,8.106226800919103e-07
resnet,gap_ppvHste,FaceDetection,3630,0.5610102415084839,0.5610101819038391,6.455238342285156,1.0,1.0,8.095706049981999e-11
resnet,gap_ppvHste,FingerMovements,268,0.5299999713897705,0.5299999117851257,3.7183568477630615,1.0,1.0,1.7655013095918548e-07
resnet,gap_ppvHste,HandMovementDirection,224,0.28378379344940186,0.2837837338447571,3.6648213863372803,1.0,1.0,5.662440827336468e-08
resnet,gap_ppvHste,Handwriting,198,0.6129412055015564,0.6129411458969116,1.814650058746338,1.0,1.0,1.4543530824084883e-07
resnet,gap_ppvHste,Heartbeat,300,0.7365853786468506,0.7365853190422058,1.6453373432159424,1.0,1.0,2.41340131879042e-07
resnet,gap_ppvHste,Libras,197,0.8666666746139526,0.8666666150093079,0.8658782243728638,1.0,1.0,7.4882132139464375e-06
resnet,gap_ppvHste,LSST,1421,0.6042173504829407,0.6042172908782959,5.529552936553955,1.0,1.0,9.695753228067261e-11
resnet,gap_ppvHste,MotorImagery,1327,0.5600000023841858,0.559999942779541,2.2612557411193848,1.0,1.0,1.6594877934039687e-06
resnet,gap_ppvHste,NATOPS,193,0.8999999761581421,0.8999999165534973,0.6217794418334961,1.0,1.0,4.722644462162862e-06
resnet,gap_ppvHste,PenDigits,3678,0.9842767119407654,0.9842766523361206,0.1475101262331009,1.0,1.0,0.0
resnet,gap_ppvHste,PEMS-SF,425,0.763005793094635,0.7630057334899902,1.5445917844772339,1.0,1.0,4.464767167089434e-10
resnet,gap_ppvHste,PhonemeSpectra,2500,0.28690725564956665,0.2869071960449219,6.468343257904053,1.0,1.0,2.4005016712180804e-06
resnet,gap_ppvHste,RacketSports,185,0.8684210777282715,0.8684210181236267,1.2989599704742432,1.0,1.0,0.0
resnet,gap_ppvHste,SelfRegulationSCP1,485,0.7201365232467651,0.7201364040374756,1.5670583248138428,1.0,1.0,8.504753736815474e-07
resnet,gap_ppvHste,SelfRegulationSCP2,462,0.5055555701255798,0.5055555105209351,2.9840497970581055,1.0,1.0,6.621292413910851e-06
resnet,gap_ppvHste,StandWalkJump,464,0.46666666865348816,0.4666666090488434,1.408301591873169,0.5,0.4999999403953552,0.9118025898933411
resnet,gap_ppvHste,UWaveGestureLibrary,207,0.871874988079071,0.8718749284744263,0.9346073865890503,1.0,1.0,2.880890690448723e-07
