model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gmp,ArticularyWordRecognition,278,0.9866666793823242,0.9866666197776794,0.06878085434436798,1.0,1.0,1.0720137879616232e-06
resnet,gmp,AtrialFibrillation,327,0.2666666805744171,0.26666662096977234,5.432338237762451,1.0,1.0,0.01163509115576744
resnet,gmp,BasicMotions,154,0.9750000238418579,0.9749999642372131,0.028214549645781517,1.0,1.0,0.0
resnet,gmp,Cricket,337,0.9722222089767456,0.9722221493721008,0.0806308314204216,1.0,1.0,0.0
resnet,gmp,DuckDuckGeese,272,0.4399999976158142,0.43999993801116943,2.867696523666382,1.0,1.0,0.0
resnet,gmp,EigenWorms,2740,0.8549618124961853,0.8549617528915405,1.5371145009994507,1.0,1.0,0.0
resnet,gmp,Epilepsy,211,0.9855072498321533,0.9855071902275085,0.09511933475732803,1.0,1.0,0.0
resnet,gmp,EthanolConcentration,738,0.23574145138263702,0.23574140667915344,6.235459327697754,1.0,1.0,2.5678493329905905e-05
resnet,gmp,ERing,157,0.8777777552604675,0.8777776956558228,0.5575754046440125,1.0,1.0,3.973642748178463e-09
resnet,gmp,FaceDetection,3580,0.5766174793243408,0.576617419719696,4.964939117431641,1.0,1.0,0.0
resnet,gmp,FingerMovements,277,0.5,0.4999999403953552,2.238551616668701,1.0,1.0,0.0
resnet,gmp,HandMovementDirection,258,0.14864864945411682,0.14864860475063324,3.137148857116699,1.0,1.0,0.0
resnet,gmp,Handwriting,205,0.3952941298484802,0.39529407024383545,3.4238767623901367,1.0,1.0,0.0
resnet,gmp,Heartbeat,315,0.7317073345184326,0.7317072749137878,1.727899432182312,1.0,1.0,0.0
resnet,gmp,Libras,196,0.8388888835906982,0.8388888239860535,1.084484338760376,1.0,1.0,1.3927588042861316e-06
resnet,gmp,LSST,1424,0.613949716091156,0.6139496564865112,4.307605266571045,1.0,1.0,0.0
resnet,gmp,MotorImagery,1342,0.5199999809265137,0.5199999213218689,3.1317193508148193,1.0,1.0,0.0
resnet,gmp,NATOPS,195,0.8666666746139526,0.8666666150093079,0.8673216700553894,1.0,1.0,1.8477427943253133e-07
resnet,gmp,PenDigits,3535,0.9822756052017212,0.9822755455970764,0.18243052065372467,1.0,1.0,0.0
resnet,gmp,PEMS-SF,432,0.8612716794013977,0.8612716197967529,0.6833608746528625,1.0,1.0,4.464767167089434e-10
resnet,gmp,PhonemeSpectra,2500,0.23978526890277863,0.23978522419929504,8.96503734588623,1.0,1.0,1.0428559127362291e-09
resnet,gmp,RacketSports,189,0.8552631735801697,0.8552631139755249,0.8563799858093262,1.0,1.0,0.0
resnet,gmp,SelfRegulationSCP1,518,0.7918089032173157,0.7918088436126709,1.5995293855667114,1.0,1.0,0.0
resnet,gmp,SelfRegulationSCP2,499,0.4611110985279083,0.46111103892326355,3.2799696922302246,1.0,1.0,0.0
resnet,gmp,StandWalkJump,377,0.3333333432674408,0.333333283662796,4.988499164581299,0.5833333134651184,0.5833332538604736,2.8547751903533936
resnet,gmp,UWaveGestureLibrary,217,0.815625011920929,0.8156249523162842,1.238332986831665,1.0,1.0,0.0
