model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gmp,ArticularyWordRecognition,237,0.9733333587646484,0.9733332991600037,0.08387462049722672,1.0,1.0,4.196160716674058e-07
resnet,gmp,AtrialFibrillation,298,0.20000000298023224,0.19999997317790985,4.548497676849365,1.0,1.0,0.005767130292952061
resnet,gmp,BasicMotions,147,0.9750000238418579,0.9749999642372131,0.1979033648967743,1.0,1.0,0.0
resnet,gmp,Cricket,263,1.0,1.0,0.006204772274941206,1.0,1.0,0.0
resnet,gmp,DuckDuckGeese,232,0.3199999928474426,0.31999993324279785,3.2442078590393066,1.0,1.0,0.0
resnet,gmp,EigenWorms,1708,0.847328245639801,0.847328245639801,0.6632731556892395,1.0,1.0,0.0
resnet,gmp,Epilepsy,190,0.9927536249160767,0.9927535653114319,0.018263259902596474,1.0,1.0,0.0
resnet,gmp,EthanolConcentration,525,0.2623574137687683,0.26235735416412354,6.21460485458374,1.0,1.0,1.2727843568427488e-05
resnet,gmp,ERing,147,0.8296296000480652,0.8296295404434204,0.6585001349449158,1.0,1.0,0.0
resnet,gmp,FaceDetection,2901,0.5780363082885742,0.5780362486839294,5.567176818847656,1.0,1.0,0.0
resnet,gmp,FingerMovements,258,0.5299999713897705,0.5299999117851257,1.6286845207214355,1.0,1.0,0.0
resnet,gmp,HandMovementDirection,243,0.3378378450870514,0.3378377854824066,2.4378821849823,1.0,1.0,0.0
resnet,gmp,Handwriting,189,0.39764705300331116,0.3976469933986664,3.3632607460021973,1.0,1.0,0.0
resnet,gmp,Heartbeat,266,0.712195098400116,0.7121950387954712,2.0137157440185547,1.0,1.0,0.0
resnet,gmp,Libras,178,0.8444444537162781,0.8444443941116333,1.0140085220336914,1.0,1.0,1.547068450236111e-06
resnet,gmp,LSST,1137,0.6123276352882385,0.6123275756835938,4.21520471572876,1.0,1.0,0.0
resnet,gmp,MotorImagery,907,0.5299999713897705,0.5299999117851257,2.018568992614746,1.0,1.0,0.0
resnet,gmp,NATOPS,179,0.8722222447395325,0.8722221851348877,0.4712790250778198,1.0,1.0,2.0066885042524518e-07
resnet,gmp,PenDigits,3020,0.9837049841880798,0.9837049245834351,0.20101912319660187,1.0,1.0,0.0
resnet,gmp,PEMS-SF,357,0.8150289058685303,0.8150288462638855,1.002140998840332,1.0,1.0,0.0
resnet,gmp,PhonemeSpectra,1979,0.23143453896045685,0.23143449425697327,9.577045440673828,1.0,1.0,1.4384227142727468e-10
resnet,gmp,RacketSports,173,0.8947368264198303,0.8947367668151855,0.778099000453949,1.0,1.0,0.0
resnet,gmp,SelfRegulationSCP1,397,0.80887371301651,0.8088736534118652,1.9374381303787231,1.0,1.0,0.0
resnet,gmp,SelfRegulationSCP2,370,0.43888887763023376,0.438888818025589,3.8535573482513428,1.0,1.0,0.0
resnet,gmp,StandWalkJump,345,0.4000000059604645,0.3999999761581421,4.4896769523620605,0.8333333134651184,0.8333332538604736,0.7138676643371582
resnet,gmp,UWaveGestureLibrary,186,0.8218749761581421,0.8218749165534973,1.101105809211731,1.0,1.0,0.0
