model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,gru128,ArticularyWordRecognition,655,0.8933333158493042,0.8933331966400146,0.48651576042175293,1.0,1.0,1.3321064216142986e-06
resnet,gru128,AtrialFibrillation,836,0.3333333432674408,0.333333283662796,4.701403617858887,1.0,1.0,0.01900075003504753
resnet,gru128,BasicMotions,375,0.7749999761581421,0.7749999165534973,2.3108067512512207,1.0,1.0,2.9802320611338473e-09
resnet,gru128,Cricket,1141,0.9583333134651184,0.9583332538604736,0.2772020101547241,1.0,1.0,9.051074556509775e-08
resnet,gru128,DuckDuckGeese,496,0.3400000035762787,0.3399999439716339,6.532357215881348,1.0,1.0,3.099441414633475e-08
resnet,gru128,EigenWorms,13708,0.40458014607429504,0.40458008646965027,7.709502696990967,1.0,1.0,9.313224857976365e-09
resnet,gru128,Epilepsy,467,0.7463768124580383,0.7463767528533936,1.8970403671264648,1.0,1.0,8.701407372413428e-10
resnet,gru128,EthanolConcentration,2674,0.2167300432920456,0.2167300134897232,5.424242973327637,1.0,1.0,0.0010145565029233694
resnet,gru128,ERing,339,0.7740740776062012,0.7740739583969116,2.2245726585388184,1.0,1.0,1.3907747131725046e-07
resnet,gru128,FaceDetection,10301,0.560158908367157,0.5601588487625122,7.037259578704834,1.0,1.0,1.4167485240523803e-10
resnet,gru128,FingerMovements,657,0.4699999988079071,0.46999993920326233,6.166017055511475,1.0,1.0,0.0
resnet,gru128,HandMovementDirection,634,0.31081080436706543,0.31081074476242065,6.890797138214111,1.0,1.0,3.7252898543727042e-09
resnet,gru128,Handwriting,382,0.42352941632270813,0.42352935671806335,5.313586711883545,1.0,1.0,3.6088540582568385e-06
resnet,gru128,Heartbeat,757,0.6731707453727722,0.6731706857681274,4.420679092407227,1.0,1.0,5.843592276733034e-10
resnet,gru128,Libras,429,0.8055555820465088,0.8055555820465088,1.3287838697433472,1.0,1.0,2.0868201318080537e-06
resnet,gru128,LSST,4172,0.6070559620857239,0.6070559024810791,4.946866035461426,1.0,1.0,0.0
resnet,gru128,MotorImagery,4598,0.5099999904632568,0.5099999308586121,6.5119781494140625,1.0,1.0,4.2881037609632244e-10
resnet,gru128,NATOPS,416,0.8277778029441833,0.8277777433395386,1.207859754562378,1.0,1.0,1.271563746740867e-06
resnet,gru128,PenDigits,11853,0.985706090927124,0.9857060313224792,0.13205820322036743,1.0,1.0,0.0
resnet,gru128,PEMS-SF,737,0.849711000919342,0.8497109413146973,1.5178223848342896,1.0,1.0,0.0
resnet,gru128,PhonemeSpectra,6946,0.21354010701179504,0.21354006230831146,9.2620267868042,0.9990950226783752,0.9990949630737305,0.0035229327622801065
resnet,gru128,RacketSports,413,0.875,0.8749999403953552,1.2514082193374634,1.0,1.0,1.642087994468966e-07
resnet,gru128,SelfRegulationSCP1,1621,0.6552901268005371,0.6552900671958923,4.163383483886719,1.0,1.0,0.0
resnet,gru128,SelfRegulationSCP2,1520,0.47777777910232544,0.47777771949768066,6.7312541007995605,1.0,1.0,0.0
resnet,gru128,StandWalkJump,1467,0.2666666805744171,0.26666662096977234,7.911306381225586,1.0,1.0,0.0002200491144321859
resnet,gru128,UWaveGestureLibrary,471,0.59375,0.5937499403953552,3.3323490619659424,1.0,1.0,1.4374641068570781e-06
