model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,map4,ArticularyWordRecognition,255,0.9766666889190674,0.9766666293144226,0.09233297407627106,1.0,1.0,1.1270695488008187e-08
resnet,map4,AtrialFibrillation,319,0.46666666865348816,0.4666666090488434,1.9571077823638916,1.0,1.0,0.032118991017341614
resnet,map4,BasicMotions,152,1.0,1.0,0.021723899990320206,1.0,1.0,0.0
resnet,map4,Cricket,303,0.9861111044883728,0.986111044883728,0.0348220095038414,1.0,1.0,1.3245474939083124e-08
resnet,map4,DuckDuckGeese,244,0.23999999463558197,0.2399999499320984,2.478919744491577,1.0,1.0,0.0
resnet,map4,EigenWorms,9308,0.8091602921485901,0.8091602325439453,0.9183133244514465,1.0,1.0,2.9057250117148214e-07
resnet,map4,Epilepsy,194,0.97826087474823,0.9782608151435852,0.06547535210847855,1.0,1.0,3.132506520842071e-08
resnet,map4,EthanolConcentration,660,0.1901140660047531,0.19011402130126953,7.331935405731201,1.0,1.0,3.9643080526730046e-05
resnet,map4,ERing,149,0.9037036895751953,0.9037036299705505,0.33756184577941895,1.0,1.0,0.0
resnet,map4,FaceDetection,3006,0.6532349586486816,0.6532348990440369,5.424961566925049,1.0,1.0,0.0
resnet,map4,FingerMovements,244,0.47999998927116394,0.47999992966651917,3.5254223346710205,1.0,1.0,0.0
resnet,map4,HandMovementDirection,235,0.47297295928001404,0.47297289967536926,1.777919888496399,1.0,1.0,0.0
resnet,map4,Handwriting,187,0.5494117736816406,0.5494117140769958,2.3932478427886963,1.0,1.0,0.0
resnet,map4,Heartbeat,297,0.7317073345184326,0.7317072749137878,1.2022079229354858,1.0,1.0,0.0
resnet,map4,Libras,184,0.8222222328186035,0.8222221732139587,1.6164296865463257,1.0,1.0,1.458985479985131e-06
resnet,map4,LSST,1171,0.5851581692695618,0.585158109664917,4.979658603668213,1.0,1.0,0.0
resnet,map4,MotorImagery,1414,0.47999998927116394,0.47999992966651917,5.758342742919922,1.0,1.0,0.0
resnet,map4,NATOPS,177,0.8722222447395325,0.8722221851348877,0.7595930099487305,1.0,1.0,3.8411879899058476e-08
resnet,map4,PenDigits,2998,0.9845626354217529,0.9845625758171082,0.17892898619174957,1.0,1.0,1.5907296313510955e-11
resnet,map4,PEMS-SF,360,0.884393036365509,0.8843929767608643,0.7553041577339172,1.0,1.0,0.0
resnet,map4,PhonemeSpectra,2062,0.2749776244163513,0.27497756481170654,8.475275993347168,1.0,1.0,1.106506246628669e-07
resnet,map4,RacketSports,168,0.8881579041481018,0.888157844543457,1.124589443206787,1.0,1.0,0.0
resnet,map4,SelfRegulationSCP1,441,0.7576791644096375,0.7576791048049927,1.265892505645752,1.0,1.0,0.0
resnet,map4,SelfRegulationSCP2,430,0.4555555582046509,0.4555554986000061,2.2006819248199463,1.0,1.0,0.0
resnet,map4,StandWalkJump,344,0.20000000298023224,0.19999997317790985,2.493960380554199,1.0,1.0,0.03724944591522217
resnet,map4,UWaveGestureLibrary,189,0.890625,0.8906249403953552,0.7232660055160522,1.0,1.0,0.0
