model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mipvH,ArticularyWordRecognition,252,0.9100000262260437,0.9099999666213989,1.4608261585235596,1.0,1.0,3.144108268315904e-05
resnet,mipvH,AtrialFibrillation,233,0.2666666805744171,0.26666662096977234,39.16651153564453,0.6666666865348816,0.6666666269302368,4.8325724601745605
resnet,mipvH,BasicMotions,144,0.75,0.7499999403953552,2.356574535369873,1.0,1.0,0.00029903172980993986
resnet,mipvH,Cricket,305,0.7916666865348816,0.7916666269302368,15.090447425842285,1.0,1.0,8.83031336940121e-09
resnet,mipvH,DuckDuckGeese,239,0.18000000715255737,0.1799999475479126,26.981172561645508,0.9599999785423279,0.9599999189376831,0.112034872174263
resnet,mipvH,EigenWorms,2784,0.3435114622116089,0.3435114026069641,418.2001647949219,1.0,1.0,0.00018159725004807115
resnet,mipvH,Epilepsy,197,0.41304346919059753,0.41304343938827515,6.504584312438965,0.9927007555961609,0.9927006959915161,0.021811457350850105
resnet,mipvH,EthanolConcentration,694,0.28136882185935974,0.28136876225471497,4.6747050285339355,0.38697317242622375,0.386973112821579,3.1119515895843506
resnet,mipvH,ERing,142,0.6925926208496094,0.6925925612449646,4.74644660949707,1.0,1.0,2.952358727270621e-06
resnet,mipvH,FaceDetection,3120,0.5337684154510498,0.533768355846405,0.9588241577148438,0.7640067934989929,0.7640067338943481,0.48978838324546814
resnet,mipvH,FingerMovements,234,0.4699999988079071,0.46999993920326233,0.9682492613792419,0.7689873576164246,0.7689872980117798,0.47488731145858765
resnet,mipvH,HandMovementDirection,208,0.3243243098258972,0.32432425022125244,7.765395641326904,0.956250011920929,0.9562499523162842,0.09748240560293198
resnet,mipvH,Handwriting,187,0.3141176402568817,0.31411758065223694,4.669296741485596,1.0,1.0,0.04004403576254845
resnet,mipvH,Heartbeat,275,0.6146341562271118,0.614634096622467,4.288713455200195,0.9754902124404907,0.975490152835846,0.08848807215690613
resnet,mipvH,Libras,191,0.7111111283302307,0.7111110091209412,1.7715182304382324,0.9888888597488403,0.9888888001441956,0.09769068658351898
resnet,mipvH,LSST,1228,0.5433900952339172,0.5433900356292725,1.4597371816635132,0.7389182448387146,0.7389181852340698,0.7335154414176941
resnet,mipvH,MotorImagery,1286,0.4699999988079071,0.46999993920326233,38.29899978637695,0.9892086386680603,0.9892085790634155,0.07774340361356735
resnet,mipvH,NATOPS,182,0.6888889074325562,0.6888888478279114,1.6476616859436035,0.9833333492279053,0.9833332896232605,0.06855714321136475
resnet,mipvH,PenDigits,3076,0.9671240448951721,0.9671239852905273,0.17788274586200714,0.9975980520248413,0.9975979924201965,0.008411595597863197
resnet,mipvH,PEMS-SF,389,0.7861271500587463,0.7861270904541016,0.5618647933006287,0.9363296031951904,0.9363294839859009,0.21457751095294952
resnet,mipvH,PhonemeSpectra,2122,0.07634953409433365,0.07634948194026947,4.158707141876221,0.12217194586992264,0.12217189371585846,3.6183876991271973
resnet,mipvH,RacketSports,167,0.8355262875556946,0.8355262875556946,0.5540653467178345,1.0,1.0,0.014865868724882603
resnet,mipvH,SelfRegulationSCP1,446,0.6689419746398926,0.6689419150352478,6.272531032562256,0.8992537260055542,0.8992536664009094,0.710443913936615
resnet,mipvH,SelfRegulationSCP2,431,0.5611110925674438,0.5611110329627991,6.76064920425415,0.9449999928474426,0.9449999332427979,0.23212772607803345
resnet,mipvH,StandWalkJump,178,0.13333334028720856,0.13333329558372498,144.06695556640625,0.5833333134651184,0.5833332538604736,103.29146575927734
resnet,mipvH,UWaveGestureLibrary,176,0.6343749761581421,0.6343749165534973,16.084980010986328,1.0,1.0,1.671897371124942e-05
