model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mipvS,ArticularyWordRecognition,272,0.846666693687439,0.8466666340827942,3.2881155014038086,0.996363639831543,0.9963635802268982,0.004846781957894564
resnet,mipvS,AtrialFibrillation,218,0.46666666865348816,0.4666666090488434,29.973461151123047,0.5333333611488342,0.5333333015441895,9.947921752929688
resnet,mipvS,BasicMotions,180,0.6000000238418579,0.5999999642372131,2.2283899784088135,0.699999988079071,0.6999999284744263,1.2564351558685303
resnet,mipvS,Cricket,246,0.5833333134651184,0.5833332538604736,39.33494567871094,0.7685185074806213,0.7685184478759766,7.874338150024414
resnet,mipvS,DuckDuckGeese,243,0.2199999988079071,0.21999995410442352,19.855052947998047,0.4399999976158142,0.43999993801116943,8.124164581298828
resnet,mipvS,EigenWorms,692,0.25190839171409607,0.2519083321094513,376.4872131347656,0.375,0.3749999403953552,316.954833984375
resnet,mipvS,Epilepsy,218,0.3333333432674408,0.333333283662796,7.55311918258667,0.41605839133262634,0.41605833172798157,4.175207614898682
resnet,mipvS,EthanolConcentration,299,0.23954372107982635,0.23954367637634277,27.06909942626953,0.28352490067481995,0.28352484107017517,23.296653747558594
resnet,mipvS,ERing,179,0.7259259223937988,0.7259258031845093,1.959992527961731,0.9333333373069763,0.9333332777023315,0.10717989504337311
resnet,mipvS,FaceDetection,2395,0.5048240423202515,0.5048239827156067,0.7269224524497986,0.5185059309005737,0.518505871295929,0.7129383683204651
resnet,mipvS,FingerMovements,277,0.4699999988079071,0.46999993920326233,0.9796965718269348,0.6044303774833679,0.6044303178787231,0.661532998085022
resnet,mipvS,HandMovementDirection,206,0.29729729890823364,0.29729723930358887,10.080238342285156,0.41874998807907104,0.4187498986721039,6.182942867279053
resnet,mipvS,Handwriting,197,0.11764705926179886,0.11764700710773468,7.347379207611084,0.273333340883255,0.27333328127861023,3.2350082397460938
resnet,mipvS,Heartbeat,257,0.6341463327407837,0.6341462731361389,3.189528226852417,0.6715686321258545,0.6715685725212097,2.883540391921997
resnet,mipvS,Libras,213,0.4888888895511627,0.48888882994651794,2.2458035945892334,0.6833333373069763,0.6833332777023315,0.9666001200675964
resnet,mipvS,LSST,1066,0.39091646671295166,0.3909164071083069,1.858486533164978,0.4294428527355194,0.42944279313087463,1.6857259273529053
resnet,mipvS,MotorImagery,492,0.550000011920929,0.5499999523162842,7.685638904571533,0.5251798629760742,0.5251798033714294,7.578683376312256
resnet,mipvS,NATOPS,212,0.5777778029441833,0.5777777433395386,1.4329019784927368,0.7277777791023254,0.7277777791023254,0.8162683844566345
resnet,mipvS,PenDigits,2855,0.8842195272445679,0.8842194676399231,0.37423670291900635,0.9347478151321411,0.9347477555274963,0.21742843091487885
resnet,mipvS,PEMS-SF,365,0.5549132823944092,0.5549132227897644,1.7365355491638184,0.6067415475845337,0.6067414879798889,1.4318486452102661
resnet,mipvS,PhonemeSpectra,1497,0.06113927811384201,0.06113922968506813,4.130585670471191,0.09924585372209549,0.09924580156803131,3.6421613693237305
resnet,mipvS,RacketSports,199,0.6578947305679321,0.6578946709632874,1.0097885131835938,0.7284768223762512,0.7284767031669617,0.7237865328788757
resnet,mipvS,SelfRegulationSCP1,251,0.5597269535064697,0.559726893901825,8.028572082519531,0.6977611780166626,0.6977611184120178,2.7665207386016846
resnet,mipvS,SelfRegulationSCP2,244,0.47777777910232544,0.47777771949768066,9.010223388671875,0.550000011920929,0.5499999523162842,9.11681079864502
resnet,mipvS,StandWalkJump,210,0.46666666865348816,0.4666666090488434,63.62224578857422,0.6666666865348816,0.6666666269302368,15.191357612609863
resnet,mipvS,UWaveGestureLibrary,203,0.6156250238418579,0.6156249642372131,11.43289566040039,0.800000011920929,0.800000011920929,2.345719814300537
