model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mpvH,ArticularyWordRecognition,272,0.9833333492279053,0.9833332896232605,0.08301655203104019,1.0,1.0,2.1808687051816378e-06
resnet,mpvH,AtrialFibrillation,374,0.2666666805744171,0.26666662096977234,2.7036845684051514,0.7333333492279053,0.7333332896232605,0.557661771774292
resnet,mpvH,BasicMotions,185,1.0,1.0,0.00016413840057794005,1.0,1.0,0.0
resnet,mpvH,Cricket,250,0.9861111044883728,0.986111044883728,0.02905058115720749,1.0,1.0,2.0972002801045164e-08
resnet,mpvH,DuckDuckGeese,248,0.47999998927116394,0.47999992966651917,2.3964688777923584,1.0,1.0,6.747239922333392e-07
resnet,mpvH,EigenWorms,684,0.8702290058135986,0.8702289462089539,1.0200799703598022,1.0,1.0,5.153912297828356e-06
resnet,mpvH,Epilepsy,216,0.97826087474823,0.9782608151435852,0.08689405769109726,1.0,1.0,3.628484250839392e-07
resnet,mpvH,EthanolConcentration,308,0.2889733910560608,0.288973331451416,4.730718612670898,1.0,1.0,0.0062444196082651615
resnet,mpvH,ERing,182,0.8296296000480652,0.8296295404434204,0.875160813331604,1.0,1.0,2.384185648907078e-08
resnet,mpvH,FaceDetection,2539,0.5845630168914795,0.5845629572868347,5.558873653411865,1.0,1.0,0.0
resnet,mpvH,FingerMovements,278,0.49000000953674316,0.4899999499320984,3.9217071533203125,1.0,1.0,1.1128708621299666e-07
resnet,mpvH,HandMovementDirection,213,0.2702702581882477,0.2702701985836029,3.1467385292053223,1.0,1.0,1.899897767998482e-07
resnet,mpvH,Handwriting,208,0.6011765003204346,0.6011764407157898,1.9476150274276733,1.0,1.0,2.5192892394443334e-07
resnet,mpvH,Heartbeat,261,0.7707316875457764,0.7707316279411316,2.0546810626983643,1.0,1.0,8.823818831160679e-08
resnet,mpvH,Libras,218,0.8444444537162781,0.8444443941116333,0.9626643061637878,1.0,1.0,5.717362910218071e-06
resnet,mpvH,LSST,1040,0.6070559620857239,0.6070559024810791,5.141032695770264,1.0,1.0,9.695753228067261e-11
resnet,mpvH,MotorImagery,487,0.5400000214576721,0.5399999618530273,3.226099967956543,1.0,1.0,2.5539470698277e-06
resnet,mpvH,NATOPS,215,0.894444465637207,0.8944444060325623,0.5263440608978271,1.0,1.0,2.960346591862617e-06
resnet,mpvH,PenDigits,2889,0.9859920144081116,0.9859919548034668,0.14871297776699066,1.0,1.0,0.0
resnet,mpvH,PEMS-SF,357,0.8150289058685303,0.8150288462638855,1.241243839263916,1.0,1.0,8.483056923580534e-09
resnet,mpvH,PhonemeSpectra,1500,0.27885475754737854,0.27885469794273376,6.244695663452148,1.0,1.0,2.6042557692562696e-06
resnet,mpvH,RacketSports,210,0.9013158082962036,0.9013157486915588,1.0762999057769775,1.0,1.0,3.1578615278249345e-09
resnet,mpvH,SelfRegulationSCP1,261,0.6860068440437317,0.6860067844390869,1.6810240745544434,1.0,1.0,1.3121912445512862e-07
resnet,mpvH,SelfRegulationSCP2,245,0.5166666507720947,0.51666659116745,2.176520347595215,1.0,1.0,3.0736007374798646e-06
resnet,mpvH,StandWalkJump,387,0.4000000059604645,0.3999999761581421,1.6154327392578125,0.5833333134651184,0.5833332538604736,1.106718897819519
resnet,mpvH,UWaveGestureLibrary,208,0.8500000238418579,0.8499999642372131,0.6854897141456604,1.0,1.0,1.1096386742792674e-06
