model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,mpvS,ArticularyWordRecognition,271,0.9666666388511658,0.966666579246521,0.11939341574907303,1.0,1.0,0.0001814338902477175
resnet,mpvS,AtrialFibrillation,319,0.2666666805744171,0.26666662096977234,6.2765889167785645,0.800000011920929,0.800000011920929,1.5205825567245483
resnet,mpvS,BasicMotions,186,1.0,1.0,0.001048685284331441,1.0,1.0,8.940695295223122e-08
resnet,mpvS,Cricket,249,0.9861111044883728,0.986111044883728,0.07510897517204285,1.0,1.0,8.057663336558107e-08
resnet,mpvS,DuckDuckGeese,246,0.36000001430511475,0.3599999248981476,3.1027212142944336,1.0,1.0,0.00017028335423674434
resnet,mpvS,EigenWorms,695,0.8702290058135986,0.8702289462089539,1.0849339962005615,1.0,1.0,1.1492495559650706e-06
resnet,mpvS,Epilepsy,221,0.95652174949646,0.9565216898918152,0.15595608949661255,1.0,1.0,4.906691174255684e-06
resnet,mpvS,EthanolConcentration,312,0.2471482902765274,0.24714824557304382,2.965827226638794,0.8773946166038513,0.8773944973945618,0.38644808530807495
resnet,mpvS,ERing,181,0.8074073791503906,0.8074073195457458,0.6435034871101379,1.0,1.0,0.0006225600955076516
resnet,mpvS,FaceDetection,2469,0.5156072378158569,0.5156071782112122,2.975259780883789,1.0,1.0,0.006501271855086088
resnet,mpvS,FingerMovements,287,0.5099999904632568,0.5099999308586121,3.3937325477600098,1.0,1.0,0.00014543920406140387
resnet,mpvS,HandMovementDirection,226,0.2702702581882477,0.2702701985836029,4.411011219024658,1.0,1.0,0.0006361164851114154
resnet,mpvS,Handwriting,211,0.544705867767334,0.5447058081626892,2.5603253841400146,1.0,1.0,0.004850275814533234
resnet,mpvS,Heartbeat,261,0.7560975551605225,0.7560974955558777,1.6102505922317505,1.0,1.0,2.085356754832901e-05
resnet,mpvS,Libras,221,0.7944444417953491,0.7944443821907043,0.9089853763580322,1.0,1.0,0.021007727831602097
resnet,mpvS,LSST,1051,0.6204379796981812,0.6204379200935364,1.5730427503585815,0.8975192904472351,0.8975192308425903,0.29432955384254456
resnet,mpvS,MotorImagery,489,0.5099999904632568,0.5099999308586121,5.316607475280762,1.0,1.0,8.437531505478546e-06
resnet,mpvS,NATOPS,218,0.8722222447395325,0.8722221851348877,0.6856329441070557,1.0,1.0,0.00029426321270875633
resnet,mpvS,PenDigits,2908,0.992853045463562,0.9928529858589172,0.08023811876773834,1.0,1.0,1.2086556125723291e-05
resnet,mpvS,PEMS-SF,376,0.849711000919342,0.8497109413146973,1.0467214584350586,1.0,1.0,1.2677732229349203e-05
resnet,mpvS,PhonemeSpectra,1531,0.26394274830818176,0.263942688703537,2.7681493759155273,0.5873303413391113,0.5873302817344666,1.4147940874099731
resnet,mpvS,RacketSports,209,0.8815789222717285,0.8815788626670837,0.4353652894496918,1.0,1.0,0.008104314096271992
resnet,mpvS,SelfRegulationSCP1,266,0.6723549365997314,0.6723548769950867,2.3296096324920654,1.0,1.0,0.00015056133270263672
resnet,mpvS,SelfRegulationSCP2,263,0.4333333373069763,0.43333327770233154,2.743375539779663,1.0,1.0,0.0009232808370143175
resnet,mpvS,StandWalkJump,382,0.4000000059604645,0.3999999761581421,3.324160099029541,0.75,0.7499999403953552,0.8845115303993225
resnet,mpvS,UWaveGestureLibrary,210,0.7281249761581421,0.7281249165534973,1.8533191680908203,1.0,1.0,0.00011788053234340623
