model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvH,ArticularyWordRecognition,300,0.9233333468437195,0.9233332872390747,0.31110039353370667,1.0,1.0,0.0625792145729065
resnet,ppvH,AtrialFibrillation,242,0.3333333432674408,0.333333283662796,1.4048289060592651,0.800000011920929,0.800000011920929,0.9190398454666138
resnet,ppvH,BasicMotions,184,1.0,1.0,0.2248053103685379,0.949999988079071,0.9499999284744263,0.2346763163805008
resnet,ppvH,Cricket,254,0.9583333134651184,0.9583332538604736,0.14119534194469452,1.0,1.0,0.024562982842326164
resnet,ppvH,DuckDuckGeese,249,0.3199999928474426,0.31999993324279785,1.6079400777816772,0.5400000214576721,0.5399999618530273,1.2723689079284668
resnet,ppvH,EigenWorms,873,0.7404580116271973,0.7404580116271973,0.7850685119628906,0.828125,0.8281249403953552,0.6485652923583984
resnet,ppvH,Epilepsy,229,0.9130434989929199,0.9130434393882751,0.3655877113342285,0.970802903175354,0.9708028435707092,0.2562711834907532
resnet,ppvH,EthanolConcentration,322,0.2737642526626587,0.2737641930580139,1.4542686939239502,0.4559386968612671,0.4559386372566223,1.2177098989486694
resnet,ppvH,ERing,181,0.7888888716697693,0.7888887524604797,0.7624163031578064,1.0,1.0,0.3664308786392212
resnet,ppvH,FaceDetection,2461,0.4957434833049774,0.49574342370033264,0.7061012983322144,0.5653650164604187,0.5653649568557739,0.6801238656044006
resnet,ppvH,FingerMovements,276,0.4699999988079071,0.46999993920326233,0.8044144511222839,0.7341772317886353,0.7341771721839905,0.5713479518890381
resnet,ppvH,HandMovementDirection,220,0.2567567527294159,0.2567566931247711,1.3623608350753784,0.5625,0.5624999403953552,1.2492783069610596
resnet,ppvH,Handwriting,214,0.23411764204502106,0.23411759734153748,3.0927364826202393,0.7933333516120911,0.7933332324028015,1.2338587045669556
resnet,ppvH,Heartbeat,261,0.7317073345184326,0.7317072749137878,0.5313556790351868,0.75,0.7499999403953552,0.4745166003704071
resnet,ppvH,Libras,230,0.7944444417953491,0.7944443821907043,0.6868621706962585,0.9722222089767456,0.9722221493721008,0.2673933804035187
resnet,ppvH,LSST,1062,0.4914841949939728,0.491484135389328,1.516732096672058,0.5677104592323303,0.5677103996276855,1.2437044382095337
resnet,ppvH,MotorImagery,535,0.550000011920929,0.5499999523162842,0.6977613568305969,0.6510791182518005,0.6510790586471558,0.6482465863227844
resnet,ppvH,NATOPS,229,0.75,0.7499999403953552,0.6343467235565186,0.949999988079071,0.9499999284744263,0.3012474775314331
resnet,ppvH,PenDigits,2832,0.9222412705421448,0.9222412109375,0.24168838560581207,0.9658393263816833,0.9658392667770386,0.10993488132953644
resnet,ppvH,PEMS-SF,394,0.6242774724960327,0.6242774128913879,1.0015769004821777,0.8539325594902039,0.8539324998855591,0.6827880144119263
resnet,ppvH,PhonemeSpectra,1535,0.19236505031585693,0.19236502051353455,2.870659112930298,0.3490196168422699,0.3490195572376251,2.4008948802948
resnet,ppvH,RacketSports,217,0.75,0.7499999403953552,0.6842592358589172,0.9072847962379456,0.9072847366333008,0.4894479513168335
resnet,ppvH,SelfRegulationSCP1,271,0.6757678985595703,0.6757678389549255,0.599518895149231,0.7723880410194397,0.7723879814147949,0.49366429448127747
resnet,ppvH,SelfRegulationSCP2,242,0.4833333194255829,0.4833332598209381,0.6993818283081055,0.5799999833106995,0.5799999237060547,0.6714338660240173
resnet,ppvH,StandWalkJump,265,0.46666666865348816,0.4666666090488434,0.857116162776947,0.6666666865348816,0.6666666269302368,0.7766771912574768
resnet,ppvH,UWaveGestureLibrary,218,0.5843750238418579,0.5843749642372131,1.360868215560913,0.9166666865348816,0.9166666269302368,0.5385974645614624
