model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvH,ArticularyWordRecognition,308,0.9433333277702332,0.9433333277702332,0.25876384973526,1.0,1.0,0.050772473216056824
resnet,ppvH,AtrialFibrillation,250,0.4000000059604645,0.3999999761581421,1.667271375656128,0.6666666865348816,0.6666666269302368,0.8353046178817749
resnet,ppvH,BasicMotions,185,1.0,1.0,0.3913436532020569,0.949999988079071,0.9499999284744263,0.38060683012008667
resnet,ppvH,Cricket,258,0.9444444179534912,0.9444443583488464,0.16261093318462372,1.0,1.0,0.040067560970783234
resnet,ppvH,DuckDuckGeese,253,0.3799999952316284,0.37999993562698364,1.6042184829711914,0.5400000214576721,0.5399999618530273,1.2884329557418823
resnet,ppvH,EigenWorms,871,0.7175572514533997,0.7175571918487549,0.7600670456886292,0.84375,0.8437499403953552,0.6318386197090149
resnet,ppvH,Epilepsy,233,0.8985507488250732,0.8985506892204285,0.45331403613090515,0.9927007555961609,0.9927006959915161,0.29869481921195984
resnet,ppvH,EthanolConcentration,322,0.23574145138263702,0.23574140667915344,1.4789011478424072,0.4521072804927826,0.4521072208881378,1.227302074432373
resnet,ppvH,ERing,183,0.8185185194015503,0.8185184001922607,0.7192511558532715,1.0,1.0,0.37312284111976624
resnet,ppvH,FaceDetection,2374,0.4977298378944397,0.4977297782897949,0.7023038864135742,0.556196928024292,0.5561968684196472,0.6835165619850159
resnet,ppvH,FingerMovements,276,0.550000011920929,0.5499999523162842,0.7319139838218689,0.7246835231781006,0.7246834635734558,0.5876092314720154
resnet,ppvH,HandMovementDirection,224,0.29729729890823364,0.29729723930358887,1.3722312450408936,0.581250011920929,0.5812499523162842,1.2429616451263428
resnet,ppvH,Handwriting,212,0.21529412269592285,0.21529407799243927,3.0831491947174072,0.746666669845581,0.7466665506362915,1.4935463666915894
resnet,ppvH,Heartbeat,261,0.6926829218864441,0.6926828622817993,0.5359150171279907,0.7254902124404907,0.7254902124404907,0.49620747566223145
resnet,ppvH,Libras,234,0.8444444537162781,0.8444443941116333,0.7123780250549316,0.9888888597488403,0.9888888001441956,0.1927923858165741
resnet,ppvH,LSST,1046,0.4776966869831085,0.47769659757614136,1.5640872716903687,0.5620170831680298,0.562017023563385,1.2458255290985107
resnet,ppvH,MotorImagery,535,0.550000011920929,0.5499999523162842,0.7202263474464417,0.6726618409156799,0.6726617813110352,0.6263986229896545
resnet,ppvH,NATOPS,230,0.7944444417953491,0.7944443821907043,0.5454254746437073,0.9555555582046509,0.9555554986000061,0.31099146604537964
resnet,ppvH,PenDigits,2915,0.9356775283813477,0.9356774687767029,0.2177022099494934,0.9661062359809875,0.9661061763763428,0.10307803750038147
resnet,ppvH,PEMS-SF,390,0.647398829460144,0.6473987698554993,0.9720098972320557,0.812734067440033,0.8127340078353882,0.7148196697235107
resnet,ppvH,PhonemeSpectra,1547,0.18490903079509735,0.18490900099277496,2.9065728187561035,0.31734541058540344,0.31734535098075867,2.4395670890808105
resnet,ppvH,RacketSports,215,0.7697368264198303,0.7697367668151855,0.6398715972900391,0.9139072895050049,0.9139072299003601,0.46341392397880554
resnet,ppvH,SelfRegulationSCP1,269,0.6791808605194092,0.6791808009147644,0.6212120652198792,0.746268630027771,0.746268630027771,0.5044183135032654
resnet,ppvH,SelfRegulationSCP2,241,0.5,0.4999999403953552,0.6998056769371033,0.6600000262260437,0.6599999666213989,0.6714277863502502
resnet,ppvH,StandWalkJump,266,0.4000000059604645,0.3999999761581421,1.094683289527893,0.75,0.7499999403953552,0.9263830184936523
resnet,ppvH,UWaveGestureLibrary,221,0.653124988079071,0.6531249284744263,1.1937624216079712,0.9666666388511658,0.966666579246521,0.34685376286506653
