model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvHste,ArticularyWordRecognition,270,0.9866666793823242,0.9866666197776794,0.054189976304769516,1.0,1.0,3.54173535015434e-05
resnet,ppvHste,AtrialFibrillation,190,0.3333333432674408,0.333333283662796,1.2009410858154297,0.3333333432674408,0.333333283662796,1.2513567209243774
resnet,ppvHste,BasicMotions,143,1.0,1.0,0.0003906894417013973,1.0,1.0,9.99265830614604e-06
resnet,ppvHste,Cricket,326,0.9861111044883728,0.986111044883728,0.059960756450891495,1.0,1.0,2.829001687132404e-06
resnet,ppvHste,DuckDuckGeese,254,0.5,0.4999999403953552,2.0315518379211426,1.0,1.0,1.0676257261366118e-05
resnet,ppvHste,EigenWorms,2696,0.9236640930175781,0.9236640334129333,0.2826490104198456,1.0,1.0,5.0636372179724276e-05
resnet,ppvHste,Epilepsy,201,0.9927536249160767,0.9927535653114319,0.014877887442708015,1.0,1.0,1.112112840928603e-05
resnet,ppvHste,EthanolConcentration,721,0.2319391667842865,0.23193912208080292,2.2612662315368652,1.0,1.0,0.004026018548756838
resnet,ppvHste,ERing,141,0.8703703880310059,0.8703703284263611,0.36792826652526855,1.0,1.0,8.659609738970175e-05
resnet,ppvHste,FaceDetection,3597,0.5371736884117126,0.5371736288070679,3.0868897438049316,1.0,1.0,3.548288805177435e-05
resnet,ppvHste,FingerMovements,250,0.550000011920929,0.5499999523162842,3.2104244232177734,1.0,1.0,3.823315182671649e-06
resnet,ppvHste,HandMovementDirection,216,0.36486485600471497,0.3648647964000702,2.0411019325256348,1.0,1.0,1.4923491562512936e-06
resnet,ppvHste,Handwriting,181,0.5070587992668152,0.5070587396621704,1.957252025604248,1.0,1.0,0.0001268621563212946
resnet,ppvHste,Heartbeat,288,0.7317073345184326,0.7317072749137878,1.552390694618225,1.0,1.0,1.4965370382924448e-06
resnet,ppvHste,Libras,187,0.8722222447395325,0.8722221851348877,0.6052890419960022,1.0,1.0,0.00010648791067069396
resnet,ppvHste,LSST,1393,0.603000819683075,0.6030007600784302,3.614943265914917,1.0,1.0,1.5973739664332243e-07
resnet,ppvHste,MotorImagery,1308,0.5199999809265137,0.5199999213218689,1.8594121932983398,1.0,1.0,0.00012273859465494752
resnet,ppvHste,NATOPS,185,0.9055555462837219,0.9055554866790771,0.4710943400859833,1.0,1.0,8.230314415413886e-05
resnet,ppvHste,PenDigits,3615,0.9865637421607971,0.9865636825561523,0.15950892865657806,1.0,1.0,0.0
resnet,ppvHste,PEMS-SF,423,0.8150289058685303,0.8150288462638855,0.8433651924133301,1.0,1.0,1.923418039950775e-06
resnet,ppvHste,PhonemeSpectra,2437,0.2922755777835846,0.2922755181789398,3.4772698879241943,0.9996983408927917,0.999698281288147,0.0030081646982580423
resnet,ppvHste,RacketSports,168,0.8618420958518982,0.8618420362472534,0.5268105864524841,1.0,1.0,0.00359680806286633
resnet,ppvHste,SelfRegulationSCP1,479,0.6689419746398926,0.6689419150352478,1.0042530298233032,1.0,1.0,8.802545198705047e-05
resnet,ppvHste,SelfRegulationSCP2,453,0.550000011920929,0.5499999523162842,1.223554253578186,1.0,1.0,5.227534711593762e-05
resnet,ppvHste,StandWalkJump,195,0.5333333611488342,0.5333333015441895,1.02164626121521,0.6666666865348816,0.6666666269302368,0.9309776425361633
resnet,ppvHste,UWaveGestureLibrary,199,0.90625,0.9062499403953552,0.5310840010643005,1.0,1.0,8.943615284806583e-06
