model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvHste_mpvH_mipvH,ArticularyWordRecognition,271,0.9266666769981384,0.9266666173934937,1.0408189296722412,1.0,1.0,1.8643890143721364e-05
resnet,ppvHste_mpvH_mipvH,AtrialFibrillation,299,0.3333333432674408,0.333333283662796,27.153108596801758,0.7333333492279053,0.7333332896232605,3.4779014587402344
resnet,ppvHste_mpvH_mipvH,BasicMotions,180,1.0,1.0,0.0013210407923907042,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,Cricket,243,0.9583333134651184,0.9583332538604736,1.8821402788162231,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,DuckDuckGeese,245,0.4000000059604645,0.3999999761581421,15.711457252502441,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,EigenWorms,686,0.8015267252922058,0.801526665687561,47.32859420776367,0.9609375,0.9609374403953552,20.610824584960938
resnet,ppvHste_mpvH_mipvH,Epilepsy,213,0.9855072498321533,0.9855071902275085,0.2198256403207779,1.0,1.0,8.701407372413428e-10
resnet,ppvHste_mpvH_mipvH,EthanolConcentration,297,0.20912547409534454,0.20912542939186096,52.00727844238281,0.8429118990898132,0.8429118394851685,4.299767017364502
resnet,ppvHste_mpvH_mipvH,ERing,180,0.7814815044403076,0.7814814448356628,2.16048526763916,1.0,1.0,2.4636554485368833e-07
resnet,ppvHste_mpvH_mipvH,FaceDetection,2453,0.5502269864082336,0.5502269268035889,12.145689964294434,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,FingerMovements,275,0.49000000953674316,0.4899999499320984,7.969904899597168,1.0,1.0,1.5089779425991878e-09
resnet,ppvHste_mpvH_mipvH,HandMovementDirection,204,0.29729729890823364,0.29729723930358887,15.325066566467285,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,Handwriting,195,0.3952941298484802,0.39529407024383545,9.422825813293457,1.0,1.0,0.0014450019225478172
resnet,ppvHste_mpvH_mipvH,Heartbeat,251,0.7365853786468506,0.7365853190422058,12.35460090637207,0.9852941036224365,0.9852940440177917,0.17096088826656342
resnet,ppvHste_mpvH_mipvH,Libras,212,0.8111110925674438,0.8111110329627991,1.7688450813293457,1.0,1.0,6.634936289628968e-05
resnet,ppvHste_mpvH_mipvH,LSST,1033,0.5973235964775085,0.5973235368728638,10.419586181640625,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,MotorImagery,488,0.5099999904632568,0.5099999308586121,41.150657653808594,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,NATOPS,214,0.894444465637207,0.8944444060325623,1.1095441579818726,1.0,1.0,2.980230284777008e-08
resnet,ppvHste_mpvH_mipvH,PenDigits,2867,0.9902801513671875,0.9902800917625427,0.15258096158504486,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,PEMS-SF,357,0.8265895843505859,0.8265895843505859,2.9318387508392334,1.0,1.0,6.250671980012612e-09
resnet,ppvHste_mpvH_mipvH,PhonemeSpectra,1494,0.2538025677204132,0.25380250811576843,57.130619049072266,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,RacketSports,200,0.8815789222717285,0.8815788626670837,1.0639467239379883,1.0,1.0,2.448572786306613e-06
resnet,ppvHste_mpvH_mipvH,SelfRegulationSCP1,253,0.7815699577331543,0.7815698981285095,3.4421374797821045,1.0,1.0,0.0
resnet,ppvHste_mpvH_mipvH,SelfRegulationSCP2,242,0.46666666865348816,0.4666666090488434,17.184947967529297,0.9950000047683716,0.9949999451637268,0.012460467405617237
resnet,ppvHste_mpvH_mipvH,StandWalkJump,205,0.6000000238418579,0.5999999642372131,84.81481170654297,0.8333333134651184,0.8333332538604736,6.404300689697266
resnet,ppvHste_mpvH_mipvH,UWaveGestureLibrary,201,0.828125,0.8281249403953552,6.539816379547119,1.0,1.0,0.0
