model,reduce,dataset,train_time_s,accuracy,f1_score,loss,train_accuracy,train_f1_score,train_loss
resnet,ppvS,ArticularyWordRecognition,281,0.9700000286102295,0.9699999690055847,0.10086464881896973,1.0,1.0,0.003296496579423547
resnet,ppvS,AtrialFibrillation,376,0.3333333432674408,0.333333283662796,4.683339595794678,0.3333333432674408,0.333333283662796,4.54809045791626
resnet,ppvS,BasicMotions,185,1.0,1.0,0.0025884550996124744,1.0,1.0,5.6635231885593385e-05
resnet,ppvS,Cricket,255,0.9861111044883728,0.986111044883728,0.0588955357670784,1.0,1.0,1.4028975783730857e-05
resnet,ppvS,DuckDuckGeese,251,0.46000000834465027,0.4599999487400055,3.139463424682617,1.0,1.0,0.00024339574156329036
resnet,ppvS,EigenWorms,694,0.8931297659873962,0.8931297063827515,0.38732555508613586,1.0,1.0,4.081751831108704e-05
resnet,ppvS,Epilepsy,219,0.9710144996643066,0.9710144400596619,0.08388584107160568,1.0,1.0,2.001395660045091e-05
resnet,ppvS,EthanolConcentration,316,0.2737642526626587,0.2737641930580139,2.9845058917999268,0.7011494040489197,0.7011493444442749,0.6978311538696289
resnet,ppvS,ERing,187,0.8037037253379822,0.8037037253379822,0.5399778485298157,1.0,1.0,0.020159181207418442
resnet,ppvS,FaceDetection,2416,0.5184449553489685,0.5184448957443237,4.74611759185791,1.0,1.0,0.00018795416690409184
resnet,ppvS,FingerMovements,294,0.5199999809265137,0.5199999213218689,3.157562255859375,1.0,1.0,0.00025588858989067376
resnet,ppvS,HandMovementDirection,225,0.21621622145175934,0.21621617674827576,3.8040573596954346,1.0,1.0,0.0003054803819395602
resnet,ppvS,Handwriting,228,0.48235294222831726,0.4823528826236725,2.165419578552246,0.9933333396911621,0.9933332800865173,0.18574272096157074
resnet,ppvS,Heartbeat,263,0.7463414669036865,0.7463414669036865,1.5597957372665405,1.0,1.0,3.19524883707345e-06
resnet,ppvS,Libras,227,0.8166666626930237,0.8166666030883789,0.6109210848808289,1.0,1.0,0.05818537250161171
resnet,ppvS,LSST,1055,0.6248986124992371,0.6248985528945923,1.1637099981307983,0.7775518298149109,0.7775517702102661,0.6651323437690735
resnet,ppvS,MotorImagery,501,0.5400000214576721,0.5399999618530273,2.5301783084869385,1.0,1.0,8.76347712619463e-06
resnet,ppvS,NATOPS,226,0.8611111044883728,0.861111044883728,0.48236045241355896,1.0,1.0,0.004371719900518656
resnet,ppvS,PenDigits,2884,0.9865637421607971,0.9865636825561523,0.06301897019147873,0.9993327856063843,0.9993327260017395,0.00322607159614563
resnet,ppvS,PEMS-SF,373,0.8323699235916138,0.832369863986969,0.7793945074081421,1.0,1.0,0.00014799540804233402
resnet,ppvS,PhonemeSpectra,1518,0.28034594655036926,0.2803458869457245,2.4617199897766113,0.48295626044273376,0.482956200838089,1.7534288167953491
resnet,ppvS,RacketSports,213,0.8223684430122375,0.8223683834075928,0.5742974281311035,1.0,1.0,0.013025017455220222
resnet,ppvS,SelfRegulationSCP1,268,0.6860068440437317,0.6860067844390869,1.6114919185638428,1.0,1.0,2.0190775103401393e-05
resnet,ppvS,SelfRegulationSCP2,261,0.47777777910232544,0.47777771949768066,2.1029913425445557,1.0,1.0,0.00012770631292369217
resnet,ppvS,StandWalkJump,328,0.3333333432674408,0.333333283662796,1.8346054553985596,0.3333333432674408,0.333333283662796,1.7799619436264038
resnet,ppvS,UWaveGestureLibrary,217,0.815625011920929,0.8156249523162842,1.1285902261734009,1.0,1.0,0.003196149365976453
